readsite,tagsite,distance_km
huachuca_2_F,huachuca_4_F,27.32038305
huachuca_3_F,huachuca_4_F,35.1837249
huachuca_4_F,huachuca_4_F,0
organ_pipe,huachuca_4_F,219.7447983
rincon,huachuca_4_F,65.70453499
big_hatchet,huachuca_4_F,198.127475
silver_city_2_F,huachuca_4_F,256.2518423
peloncillo_1_F,huachuca_4_F,145.5817607
silver_city_1_F,huachuca_4_F,249.9424559
silver_city_3_F,huachuca_4_F,248.8259523
fort_huachuca,huachuca_4_F,6.919977388
chiricahua_1_F,huachuca_4_F,117.9530004
chiricahua_2_F,huachuca_4_F,127.4564825
huachuca_5_F,huachuca_4_F,24.55378871
silver_city_4_F,huachuca_4_F,233.4071383
cdmx_1_F,huachuca_4_F,1344.765799
cdmx_3_F,huachuca_4_F,1361.228263
cdmx_2_F,huachuca_4_F,1360.840907
azedon,huachuca_4_F,830.3930163
carmen,huachuca_4_F,620.3586408
chivato,huachuca_4_F,837.1120942
gitana,huachuca_4_F,836.4735214
la_capilla,huachuca_4_F,887.0375149
las_cuevas,huachuca_4_F,896.6933023
pinacate,huachuca_4_F,282.3291999
juxtlahuaca,huachuca_4_F,1940.98812
navachiste,huachuca_4_F,689.9180612
atoyac,huachuca_4_F,1463.30942
mariana,huachuca_4_F,223.5091103
organ_pipe_1_h2o,huachuca_4_F,215.6493618
organ_pipe_2_h2o,huachuca_4_F,230.9756307
organ_pipe_satellite,huachuca_4_F,225.5320393
organ_pipe_3_h2o,huachuca_4_F,214.8564633
don_panchito,huachuca_4_F,1441.556626
tucson_1_F,organ_pipe,184.1168096
tucson_2_F,organ_pipe,189.3498881
tucson_3_F,organ_pipe,190.7096067
tucson_4_F,organ_pipe,181.3343226
huachuca_1_F,organ_pipe,249.4462077
tucson_5_F,organ_pipe,159.6260873
tucson_6_F,organ_pipe,147.3833641
coronado,organ_pipe,248.9998613
huachuca_2_F,organ_pipe,245.6838323
huachuca_3_F,organ_pipe,251.8706359
huachuca_4_F,organ_pipe,219.7447983
organ_pipe,organ_pipe,0
rincon,organ_pipe,193.0553566
big_hatchet,organ_pipe,413.1005858
silver_city_2_F,organ_pipe,433.8567877
peloncillo_1_F,organ_pipe,358.9384536
silver_city_1_F,organ_pipe,427.3419716
silver_city_3_F,organ_pipe,427.1556776
fort_huachuca,organ_pipe,226.2766233
chiricahua_1_F,organ_pipe,320.4295675
chiricahua_2_F,organ_pipe,335.8348236
huachuca_5_F,organ_pipe,242.2690477
silver_city_4_F,organ_pipe,419.2912935
cdmx_1_F,organ_pipe,1409.627211
cdmx_3_F,organ_pipe,1424.223252
cdmx_2_F,organ_pipe,1424.990035
azedon,organ_pipe,925.1098826
carmen,organ_pipe,691.0335187
chivato,organ_pipe,930.1570724
gitana,organ_pipe,929.6361287
la_capilla,organ_pipe,987.3399522
las_cuevas,organ_pipe,996.1433471
pinacate,organ_pipe,85.23926183
juxtlahuaca,organ_pipe,2123.012707
navachiste,organ_pipe,814.8492449
atoyac,organ_pipe,1627.627204
mariana,organ_pipe,334.5774862
organ_pipe_1_h2o,organ_pipe,8.683938725
organ_pipe_2_h2o,organ_pipe,15.61253143
organ_pipe_satellite,organ_pipe,20.10826752
organ_pipe_3_h2o,organ_pipe,5.947748032
don_panchito,organ_pipe,1588.392727
tucson_1_F,rincon,18.27423125
tucson_2_F,rincon,3.969846966
tucson_3_F,rincon,14.93779741
tucson_4_F,rincon,19.04847019
huachuca_1_F,rincon,92.58270423
tucson_5_F,rincon,35.40083813
tucson_6_F,rincon,52.17114647
coronado,rincon,98.46811624
huachuca_2_F,rincon,88.72133028
huachuca_3_F,rincon,97.33165849
huachuca_4_F,rincon,65.70453499
organ_pipe,rincon,193.0553566
rincon,rincon,0
big_hatchet,rincon,224.02048
silver_city_2_F,rincon,245.6231757
peloncillo_1_F,rincon,169.9488766
silver_city_1_F,rincon,239.0636757
silver_city_3_F,rincon,238.5593667
fort_huachuca,rincon,71.26086403
chiricahua_1_F,rincon,128.2576677
chiricahua_2_F,rincon,144.9649129
huachuca_5_F,rincon,87.28738387
silver_city_4_F,rincon,228.3533469
cdmx_1_F,rincon,1406.956881
cdmx_3_F,rincon,1423.245975
cdmx_2_F,rincon,1422.976741
azedon,rincon,894.4941255
carmen,rincon,681.4561756
chivato,rincon,901.0989322
gitana,rincon,900.4682099
la_capilla,rincon,951.6111371
las_cuevas,rincon,961.2249546
pinacate,rincon,268.5378761
juxtlahuaca,rincon,2001.996711
navachiste,rincon,755.4287944
atoyac,rincon,1527.249398
mariana,rincon,284.772731
organ_pipe_1_h2o,rincon,191.3819726
organ_pipe_2_h2o,rincon,206.894111
organ_pipe_satellite,rincon,204.1396899
organ_pipe_3_h2o,rincon,189.3725724
don_panchito,rincon,1506.826054
tucson_1_F,big_hatchet,237.8247806
tucson_2_F,big_hatchet,227.9758326
tucson_3_F,big_hatchet,231.2091768
tucson_4_F,big_hatchet,240.068452
huachuca_1_F,big_hatchet,174.3090495
tucson_5_F,big_hatchet,259.4104723
tucson_6_F,big_hatchet,275.6663234
coronado,big_hatchet,178.9166772
huachuca_2_F,big_hatchet,176.9894399
huachuca_3_F,big_hatchet,174.1643872
huachuca_4_F,big_hatchet,198.127475
organ_pipe,big_hatchet,413.1005858
rincon,big_hatchet,224.02048
big_hatchet,big_hatchet,0
silver_city_2_F,big_hatchet,134.9650994
peloncillo_1_F,big_hatchet,54.25933423
silver_city_1_F,big_hatchet,132.3815485
silver_city_3_F,big_hatchet,129.9796218
fort_huachuca,big_hatchet,192.6408014
chiricahua_1_F,big_hatchet,98.09829249
chiricahua_2_F,big_hatchet,79.51166232
huachuca_5_F,big_hatchet,180.6467058
silver_city_4_F,big_hatchet,107.2235398
cdmx_1_F,big_hatchet,1374.508719
cdmx_3_F,big_hatchet,1392.377489
cdmx_2_F,big_hatchet,1390.911494
azedon,big_hatchet,848.3450016
carmen,big_hatchet,676.7435173
chivato,big_hatchet,856.4308158
gitana,big_hatchet,855.7051855
la_capilla,big_hatchet,896.2223523
las_cuevas,big_hatchet,906.32131
pinacate,big_hatchet,480.1715891
juxtlahuaca,big_hatchet,1828.81474
navachiste,big_hatchet,683.4393594
atoyac,big_hatchet,1380.204147
mariana,big_hatchet,321.7900129
organ_pipe_1_h2o,big_hatchet,410.0810868
organ_pipe_2_h2o,big_hatchet,425.646415
organ_pipe_satellite,big_hatchet,421.1928504
organ_pipe_3_h2o,big_hatchet,408.7360089
don_panchito,big_hatchet,1381.216331
tucson_1_F,silver_city_2_F,250.8382726
tucson_2_F,silver_city_2_F,248.7658688
tucson_3_F,silver_city_2_F,244.5402682
tucson_4_F,silver_city_2_F,253.7055597
huachuca_1_F,silver_city_2_F,246.7425025
tucson_5_F,silver_city_2_F,275.5193343
tucson_6_F,silver_city_2_F,286.5093171
coronado,silver_city_2_F,254.602038
huachuca_2_F,silver_city_2_F,247.3670623
huachuca_3_F,silver_city_2_F,249.2231882
huachuca_4_F,silver_city_2_F,256.2518423
organ_pipe,silver_city_2_F,433.8567877
rincon,silver_city_2_F,245.6231757
big_hatchet,silver_city_2_F,134.9650994
silver_city_2_F,silver_city_2_F,0
